No.,Time,Source,Destination,Protocol,Length,Info,Suspicious
1,0.0,Intel_78:0c:02,Broadcast,ARP,60,Who has 192.168.1.1? Tell 192.168.1.3,1
2,0.017208,192.168.1.3,192.168.1.1,DNS,84,Standard query 0x0001 PTR 1.1.168.192.in-addr.arpa,0
3,0.017234,ThomsonTelec_eb:46:e7,Intel_78:0c:02,ARP,42,192.168.1.1 is at 00:90:d0:eb:46:e7,0
4,0.019881,192.168.1.1,192.168.1.3,DNS,112,Standard query response 0x0001 PTR 1.1.168.192.in-addr.arpa PTR SpeedTouch.lan,0
5,0.09604,Intel_78:0c:02,Broadcast,ARP,82,Who has 192.168.1.1? Tell 192.168.1.3,1
6,1.11604,192.168.1.2,140.112.253.189,TCP,96,"1026  >  22604 [PSH, ACK] Seq=1 Ack=1 Win=63748 Len=2",0
7,2.629154,192.168.1.3,192.168.1.1,DNS,75,Standard query 0x0002 A www.www.com.lan,1
8,2.646936,192.168.1.1,192.168.1.3,DNS,75,Standard query response 0x0002 A www.www.com.lan,1
9,2.648555,192.168.1.3,192.168.1.1,DNS,71,Standard query 0x0003 A www.www.com,0
10,2.958219,192.168.1.1,192.168.1.3,DNS,87,Standard query response 0x0003 A www.www.com A 63.215.91.200,0
11,25.478711,Intel_78:0c:02,Broadcast,ARP,60,Who has 192.168.1.2? Tell 192.168.1.3,1
12,25.491556,Intel_78:0c:02,Broadcast,ARP,82,Who has 192.168.1.2? Tell 192.168.1.3,1
13,25.492485,Compex_24:33:32,Intel_78:0c:02,ARP,82,192.168.1.2 is at 00:80:48:24:33:32,0
14,25.493358,192.168.1.3,192.168.1.2,TCP,62,1396  >  53 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,0
15,25.493377,Compex_24:33:32,Intel_78:0c:02,ARP,42,192.168.1.2 is at 00:80:48:24:33:32,0
16,25.494894,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1396  >  53 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,0
17,25.496543,192.168.1.2,192.168.1.3,TCP,102,"53  >  1396 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
18,25.497466,192.168.1.3,192.168.1.2,TCP,60,1396  >  53 [ACK] Seq=1 Ack=1 Win=17424 Len=0,0
19,25.497483,192.168.1.2,192.168.1.3,TCP,62,"[TCP Out-Of-Order] 53  >  1396 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
20,25.498909,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 18#1] 1396  >  53 [ACK] Seq=1 Ack=1 Win=17424 Len=0,0
21,25.555046,192.168.1.2,192.168.1.3,TCP,182,"53  >  1396 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=88 [TCP segment of a reassembled PDU]",1
22,25.556102,192.168.1.2,192.168.1.3,TCP,142,"[TCP Retransmission] 53  >  1396 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=88",0
23,25.698332,192.168.1.3,192.168.1.2,TCP,60,1396  >  53 [ACK] Seq=1 Ack=89 Win=17336 Len=0,0
24,25.716239,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 23#1] 1396  >  53 [ACK] Seq=1 Ack=89 Win=17336 Len=0,0
